##A majority of these can be kept, and the gender can be derived from the title, but let's get rid of these empty rows.


"Number","Gender","Title","FirstName","LastName","Address","ZipCode","EmailAddress","Username","Password","Birthday","CCType","CCNumber","CVV2","CCExpires","BloodType","Kilograms","Centimeters","Column 18","Column 19"
"4276","","","","","","","","","","","","","","","","","","",""
"5259","","","","","","","","","","","","","","","","","","",""
"14463","","","","","","","","","","","","","","","","","","",""
"17404","","","","","","","","","","","","","","","","","","",""
"17791","","","","","","","","","","","","","","","","","","",""
"18539","","","","","","","","","","","","","","","","","","",""
"18658","","","","","","","","","","","","","","","","","","",""
"23506","","","","","","","","","","","","","","","","","","",""
"24906","","","","","","","","","","","","","","","","","","",""
"27274","","","","","","","","","","","","","","","","","","",""
"34965","","","","","","","","","","","","","","","","","","",""
"38735","","","","","","","","","","","","","","","","","","",""
"40407","","","","","","","","","","","","","","","","","","",""
"48791","","","","","","","","","","","","","","","","","","",""
"49898","","","","","","","","","","","","","","","","","","",""
"60451","","","","","","","","","","","","","","","","","","",""
"62200","","","","","","","","","","","","","","","","","","",""
"65559","","","","","","","","","","","","","","","","","","",""
"66276","","","","","","","","","","","","","","","","","","",""
"69364","","","","","","","","","","","","","","","","","","",""
"70661","","","","","","","","","","","","","","","","","","",""
"71373","","","","","","","","","","","","","","","","","","",""
"71390","","","","","","","","","","","","","","","","","","",""
"79887","","","","","","","","","","","","","","","","","","",""
"83348","","","","","","","","","","","","","","","","","","",""
"83380","","","","","","","","","","","","","","","","","","",""
"83878","","","","","","","","","","","","","","","","","","",""
"89258","","","","","","","","","","","","","","","","","","",""
"91106","","","","","","","","","","","","","","","","","","",""
"91107","","","","","","","","","","","","","","","","","","",""
"91108","","","","","","","","","","","","","","","","","","",""
"91109","","","","","","","","","","","","","","","","","","",""
"91110","","","","","","","","","","","","","","","","","","",""
"91111","","","","","","","","","","","","","","","","","","",""
"91112","","","","","","","","","","","","","","","","","","",""
"91113","","","","","","","","","","","","","","","","","","",""
"91114","","","","","","","","","","","","","","","","","","",""
"91115","","","","","","","","","","","","","","","","","","",""
"91116","","","","","","","","","","","","","","","","","","",""
"91401","","Mrs.","Shannon","Atkins","69 Boughton Rd, WHYTELEAFE, UK ","CR3 9TU","ShannonAtkins@fleckens.hu","Shiceat","Eiquoo4oh","1965-09-04","Visa","4485477608265571","399","12/2018","A+","54.6","153","",""
